day,exchange,category,volume_usdc,fills
2024-12-11 00:00:00.000 UTC,negrisk,unknown,44629360.41009133,321181
2024-12-11 00:00:00.000 UTC,regular,unknown,6374810.132446998,65257
2024-12-12 00:00:00.000 UTC,negrisk,unknown,34366329.69085696,316786
2024-12-12 00:00:00.000 UTC,regular,unknown,5668664.323386999,60131
2024-12-13 00:00:00.000 UTC,negrisk,unknown,47982940.47322815,259469
2024-12-13 00:00:00.000 UTC,regular,unknown,7457753.339118003,57732
2024-12-14 00:00:00.000 UTC,negrisk,unknown,17069296.00596595,224795
2024-12-14 00:00:00.000 UTC,regular,unknown,6024476.301021998,55652
2024-12-15 00:00:00.000 UTC,negrisk,unknown,25072371.292865265,254374
2024-12-15 00:00:00.000 UTC,regular,unknown,7801552.673126995,72977
2024-12-16 00:00:00.000 UTC,negrisk,unknown,34712439.24773909,395589
2024-12-16 00:00:00.000 UTC,regular,unknown,8484684.977031007,83242
2024-12-17 00:00:00.000 UTC,negrisk,unknown,39989466.49193606,463586
2024-12-17 00:00:00.000 UTC,regular,unknown,8925210.946376007,71528
2024-12-18 00:00:00.000 UTC,negrisk,unknown,62302896.51316756,489876
2024-12-18 00:00:00.000 UTC,regular,unknown,8113686.016960009,71318
2024-12-19 00:00:00.000 UTC,negrisk,unknown,57323148.58467511,526296
2024-12-19 00:00:00.000 UTC,regular,unknown,13036077.12375803,94902
2024-12-20 00:00:00.000 UTC,negrisk,unknown,46764307.37192877,607873
2024-12-20 00:00:00.000 UTC,regular,unknown,13352814.227655984,101011
2024-12-21 00:00:00.000 UTC,negrisk,unknown,48598028.59587105,794200
2024-12-21 00:00:00.000 UTC,regular,unknown,10474993.443002004,62225
2024-12-22 00:00:00.000 UTC,negrisk,unknown,42024069.95828289,723861
2024-12-22 00:00:00.000 UTC,regular,unknown,8499281.744646,62079
2024-12-23 00:00:00.000 UTC,negrisk,unknown,58314903.206633046,940941
2024-12-23 00:00:00.000 UTC,regular,unknown,10019762.362004993,73595
2024-12-24 00:00:00.000 UTC,negrisk,unknown,57546406.45092102,948771
2024-12-24 00:00:00.000 UTC,regular,unknown,12478930.386967996,75104
2024-12-25 00:00:00.000 UTC,negrisk,unknown,50219527.85840695,979695
2024-12-25 00:00:00.000 UTC,regular,unknown,8130736.091737,70740
2024-12-26 00:00:00.000 UTC,negrisk,unknown,58499237.83212402,917257
2024-12-26 00:00:00.000 UTC,regular,unknown,9216063.807911003,88658
2024-12-27 00:00:00.000 UTC,negrisk,unknown,63560003.59504402,1028207
2024-12-27 00:00:00.000 UTC,regular,unknown,10919277.433578975,104676
2024-12-28 00:00:00.000 UTC,negrisk,unknown,47073377.36120514,897170
2024-12-28 00:00:00.000 UTC,regular,unknown,9929564.96452403,90196
2024-12-29 00:00:00.000 UTC,negrisk,unknown,51008347.28648207,805629
2024-12-29 00:00:00.000 UTC,regular,unknown,14534930.626392994,79740
2024-12-30 00:00:00.000 UTC,negrisk,unknown,43380036.12585406,793316
2024-12-30 00:00:00.000 UTC,regular,unknown,12337084.388233997,96686
2024-12-31 00:00:00.000 UTC,negrisk,unknown,34640106.038611025,511488
2024-12-31 00:00:00.000 UTC,regular,unknown,15069726.207938995,96656
2025-01-01 00:00:00.000 UTC,negrisk,unknown,36480018.524929054,329850
2025-01-01 00:00:00.000 UTC,regular,unknown,8497457.593668,48748
2025-01-02 00:00:00.000 UTC,negrisk,unknown,37167632.16024905,374806
2025-01-02 00:00:00.000 UTC,regular,unknown,8767097.191547005,60636
2025-01-03 00:00:00.000 UTC,negrisk,unknown,30621500.31011201,432783
2025-01-03 00:00:00.000 UTC,regular,unknown,8485023.716686996,56818
2025-01-04 00:00:00.000 UTC,negrisk,unknown,21408737.044065,324212
2025-01-04 00:00:00.000 UTC,regular,unknown,5823949.678809005,51397
2025-01-05 00:00:00.000 UTC,negrisk,unknown,17898345.47530801,349954
2025-01-05 00:00:00.000 UTC,regular,unknown,10584875.632051995,65144
2025-01-06 00:00:00.000 UTC,negrisk,unknown,17652838.65813798,356661
2025-01-06 00:00:00.000 UTC,regular,unknown,8754454.778936,57170
2025-01-07 00:00:00.000 UTC,negrisk,unknown,22130822.438968036,397728
2025-01-07 00:00:00.000 UTC,regular,unknown,6975998.2691239985,64981
2025-01-08 00:00:00.000 UTC,negrisk,unknown,20355111.917821027,321115
2025-01-08 00:00:00.000 UTC,regular,unknown,6784057.664466999,76492
2025-01-09 00:00:00.000 UTC,negrisk,unknown,22110914.634491026,286328
2025-01-09 00:00:00.000 UTC,regular,unknown,7599193.606664,62376
2025-01-10 00:00:00.000 UTC,negrisk,unknown,27184359.81403001,286595
2025-01-10 00:00:00.000 UTC,regular,unknown,7762556.7043639915,77454
2025-01-11 00:00:00.000 UTC,negrisk,unknown,22856495.09733804,273177
2025-01-11 00:00:00.000 UTC,regular,unknown,5610857.323461996,50243
2025-01-12 00:00:00.000 UTC,negrisk,unknown,19964006.317342997,186762
2025-01-12 00:00:00.000 UTC,regular,unknown,8460125.086337,52817
2025-01-13 00:00:00.000 UTC,negrisk,unknown,20345326.02754595,209600
2025-01-13 00:00:00.000 UTC,regular,unknown,9016388.205614993,54985
2025-01-14 00:00:00.000 UTC,negrisk,unknown,20383161.01079199,208922
2025-01-14 00:00:00.000 UTC,regular,unknown,7680718.0455570035,62826
2025-01-15 00:00:00.000 UTC,negrisk,unknown,20719742.256280012,214361
2025-01-15 00:00:00.000 UTC,regular,unknown,9356571.807256993,63090
2025-01-16 00:00:00.000 UTC,negrisk,unknown,20246946.64952097,247636
2025-01-16 00:00:00.000 UTC,regular,unknown,7945470.380493998,80975
2025-01-17 00:00:00.000 UTC,negrisk,unknown,20491002.966294978,283016
2025-01-17 00:00:00.000 UTC,regular,unknown,8949661.710343005,66298
2025-01-18 00:00:00.000 UTC,negrisk,unknown,21780278.35130699,331083
2025-01-18 00:00:00.000 UTC,regular,unknown,12775496.437369008,69336
2025-01-19 00:00:00.000 UTC,negrisk,unknown,25467136.94939408,329931
2025-01-19 00:00:00.000 UTC,regular,unknown,20696556.55435393,91541
2025-01-20 00:00:00.000 UTC,negrisk,unknown,27139836.741836987,302084
2025-01-20 00:00:00.000 UTC,regular,unknown,29091403.25745298,96426
2025-01-21 00:00:00.000 UTC,negrisk,unknown,17978488.34486,281466
2025-01-21 00:00:00.000 UTC,regular,unknown,19125676.863391027,65083
2025-01-22 00:00:00.000 UTC,negrisk,unknown,15640698.420667015,297874
2025-01-22 00:00:00.000 UTC,regular,unknown,7498536.398632007,56187
2025-01-23 00:00:00.000 UTC,negrisk,unknown,10372813.780096993,258335
2025-01-23 00:00:00.000 UTC,regular,unknown,10625384.990221996,67429
2025-01-24 00:00:00.000 UTC,negrisk,unknown,15582218.313598018,260212
2025-01-24 00:00:00.000 UTC,regular,unknown,8335528.342911003,54733
2025-01-25 00:00:00.000 UTC,negrisk,unknown,15593715.471712006,224189
2025-01-25 00:00:00.000 UTC,regular,unknown,5887032.744258998,41971
2025-01-26 00:00:00.000 UTC,negrisk,unknown,16856266.185891997,217976
2025-01-26 00:00:00.000 UTC,regular,unknown,7754310.950148989,43980
2025-01-27 00:00:00.000 UTC,negrisk,unknown,10659605.800538,116232
2025-01-27 00:00:00.000 UTC,regular,unknown,6747438.607753995,49464
2025-01-28 00:00:00.000 UTC,negrisk,unknown,10117178.102808991,112744
2025-01-28 00:00:00.000 UTC,regular,unknown,5136300.824046,51590
2025-01-29 00:00:00.000 UTC,negrisk,unknown,26292312.200333,144986
2025-01-29 00:00:00.000 UTC,regular,unknown,5874088.823978994,54288
2025-01-30 00:00:00.000 UTC,negrisk,unknown,8475170.528921004,120331
2025-01-30 00:00:00.000 UTC,regular,unknown,7126222.349490004,56423
2025-01-31 00:00:00.000 UTC,negrisk,unknown,10537504.885794006,134029
2025-01-31 00:00:00.000 UTC,regular,unknown,11390006.348022,51954
2025-02-01 00:00:00.000 UTC,negrisk,unknown,9450286.509307,118471
2025-02-01 00:00:00.000 UTC,regular,unknown,6850758.660429998,32860
2025-02-02 00:00:00.000 UTC,negrisk,unknown,9353308.517584002,107941
2025-02-02 00:00:00.000 UTC,regular,unknown,7300279.987186002,35020
2025-02-03 00:00:00.000 UTC,negrisk,unknown,7376943.863231003,99103
2025-02-03 00:00:00.000 UTC,regular,unknown,7498817.105385998,45003
2025-02-04 00:00:00.000 UTC,negrisk,unknown,6829442.099371002,119854
2025-02-04 00:00:00.000 UTC,regular,unknown,7198341.080709,51362
2025-02-05 00:00:00.000 UTC,negrisk,unknown,9919232.014268998,183033
2025-02-05 00:00:00.000 UTC,regular,unknown,6547034.645192002,48429
2025-02-06 00:00:00.000 UTC,negrisk,unknown,9807350.437594002,201850
2025-02-06 00:00:00.000 UTC,regular,unknown,5640680.69182,45321
2025-02-07 00:00:00.000 UTC,negrisk,unknown,15420552.773943001,218584
2025-02-07 00:00:00.000 UTC,regular,unknown,6925417.474949001,48631
2025-02-08 00:00:00.000 UTC,negrisk,unknown,14371075.461539995,217356
2025-02-08 00:00:00.000 UTC,regular,unknown,5723715.514333,41046
2025-02-09 00:00:00.000 UTC,negrisk,unknown,11123474.358332999,208441
2025-02-09 00:00:00.000 UTC,regular,unknown,8604585.244895991,42531
2025-02-10 00:00:00.000 UTC,negrisk,unknown,16243364.24967,228433
2025-02-10 00:00:00.000 UTC,regular,unknown,8516665.712774998,44584
2025-02-11 00:00:00.000 UTC,negrisk,unknown,14798498.229526998,225591
2025-02-11 00:00:00.000 UTC,regular,unknown,6626413.856547995,40957
2025-02-12 00:00:00.000 UTC,negrisk,unknown,15926910.637037996,247556
2025-02-12 00:00:00.000 UTC,regular,unknown,8407312.158991002,50272
2025-02-13 00:00:00.000 UTC,negrisk,unknown,16310381.587692006,223873
2025-02-13 00:00:00.000 UTC,regular,unknown,8487688.984703002,46816
2025-02-14 00:00:00.000 UTC,negrisk,unknown,15290075.762828996,226837
2025-02-14 00:00:00.000 UTC,regular,unknown,8564306.617489003,42230
2025-02-15 00:00:00.000 UTC,negrisk,unknown,10797852.616057,176541
2025-02-15 00:00:00.000 UTC,regular,unknown,5891435.998901999,23322
2025-02-16 00:00:00.000 UTC,negrisk,unknown,17756834.54876401,152975
2025-02-16 00:00:00.000 UTC,regular,unknown,4848956.1333180005,23838
2025-02-17 00:00:00.000 UTC,negrisk,unknown,13118001.156453004,169296
2025-02-17 00:00:00.000 UTC,regular,unknown,4250785.720859003,29809
2025-02-18 00:00:00.000 UTC,negrisk,unknown,20809781.659669,199929
2025-02-18 00:00:00.000 UTC,regular,unknown,6068428.530053,40497
2025-02-19 00:00:00.000 UTC,negrisk,unknown,20145178.389104,194754
2025-02-19 00:00:00.000 UTC,regular,unknown,5667325.618039999,33068
2025-02-20 00:00:00.000 UTC,negrisk,unknown,19570098.508977987,189359
2025-02-20 00:00:00.000 UTC,regular,unknown,8503792.595594002,50074
2025-02-21 00:00:00.000 UTC,negrisk,unknown,21593336.429380983,167091
2025-02-21 00:00:00.000 UTC,regular,unknown,12373278.821814993,55651
2025-02-22 00:00:00.000 UTC,negrisk,unknown,16152092.143414006,165068
2025-02-22 00:00:00.000 UTC,regular,unknown,7402746.002320998,38663
2025-02-23 00:00:00.000 UTC,negrisk,unknown,23108119.051966015,209041
2025-02-23 00:00:00.000 UTC,regular,unknown,7654709.681607002,46548
2025-02-24 00:00:00.000 UTC,negrisk,unknown,20695702.568568993,160294
2025-02-24 00:00:00.000 UTC,regular,unknown,8975250.027766995,56544
2025-02-25 00:00:00.000 UTC,negrisk,unknown,12172440.524159996,134139
2025-02-25 00:00:00.000 UTC,regular,unknown,9461694.412020998,69616
2025-02-26 00:00:00.000 UTC,negrisk,unknown,16946613.104154,138542
2025-02-26 00:00:00.000 UTC,regular,unknown,7916477.533541002,64811
2025-02-27 00:00:00.000 UTC,negrisk,unknown,12920304.367306998,164232
2025-02-27 00:00:00.000 UTC,regular,unknown,7707521.1040590005,90406
2025-02-28 00:00:00.000 UTC,negrisk,unknown,12049402.344485998,161183
2025-02-28 00:00:00.000 UTC,regular,unknown,9936160.070625989,58491
2025-03-01 00:00:00.000 UTC,negrisk,unknown,9830217.455815004,159691
2025-03-01 00:00:00.000 UTC,regular,unknown,9006165.793193001,38671
2025-03-02 00:00:00.000 UTC,negrisk,unknown,10780634.944302004,166226
2025-03-02 00:00:00.000 UTC,regular,unknown,9512663.458983999,44468
2025-03-03 00:00:00.000 UTC,negrisk,unknown,11607661.454096006,145703
2025-03-03 00:00:00.000 UTC,regular,unknown,7489379.973373996,50284
2025-03-04 00:00:00.000 UTC,negrisk,unknown,13808653.293796994,148013
2025-03-04 00:00:00.000 UTC,regular,unknown,8885760.843113005,70921
2025-03-05 00:00:00.000 UTC,negrisk,unknown,12537641.142034002,147987
2025-03-05 00:00:00.000 UTC,regular,unknown,7695992.735340987,73788
2025-03-06 00:00:00.000 UTC,negrisk,unknown,10796133.323893001,133115
2025-03-06 00:00:00.000 UTC,regular,unknown,7815876.681756002,53184
2025-03-07 00:00:00.000 UTC,negrisk,unknown,12300122.015228,141362
2025-03-07 00:00:00.000 UTC,regular,unknown,12993015.211090991,58087
2025-03-08 00:00:00.000 UTC,negrisk,unknown,13857845.534345996,113092
2025-03-08 00:00:00.000 UTC,regular,unknown,6736614.098616998,44403
2025-03-09 00:00:00.000 UTC,negrisk,unknown,14595571.367571,120109
2025-03-09 00:00:00.000 UTC,regular,unknown,8094417.296414998,42023
